x,y,z
0.106,0.034,0.034
0.113,0.038,0.023
0.091,-0.015,0.023
0.121,0.098,0.041
0.109,0.083,0.106
0.083,0.015,0.045
0.049,-0.004,-0.015
0.064,0.064,-0.06
0.087,0.098,0.079
0.053,0.023,0.049
0.019,-0.019,-0.019
0.023,-0.045,0.038
0.117,0.015,-0.03
0.094,0.034,-0.034
0.068,0.011,-0.026
0.109,0.038,-0.091
0.004,0.091,0.03
0.068,0.106,-0.06
0.057,0.094,-0.068
0.026,0.026,0.004
0.045,0.075,-0.064
0.038,0.079,-0.008
0.109,0.038,0.015
0.011,0.008,-0.102
0.075,0.004,-0.124
0.011,0.026,-0.023
0.075,0.045,-0.026
0.094,0.004,0.03
0.098,0.023,0.132
0.079,0.091,0.083
0.143,0.075,-0.06
0.155,0.026,-0.038
0.177,0.079,-0.068
0.109,0.064,-0.008
-0.034,0.091,0.008
0.068,0.064,0.049
0.106,0.049,0.057
0.132,0.072,-0.117
0.151,0.038,-0.011
0.136,0.06,-0.026
0.094,0.102,0.034
0.079,0.053,0.057
0.068,0.015,-0.004
0.057,0.053,0.049
0.06,0.083,-0.06
0.064,0.075,-0.03
0.06,0.023,-0.034
0.128,0.03,-0.049
0.068,0.0,-0.004
0.121,0.026,0.068
0.079,0.068,-0.057
0.094,0.117,-0.049
0.128,0.038,-0.121
0.091,-0.004,-0.026
0.117,0.023,-0.049
0.128,0.049,-0.041
0.128,0.011,0.083
0.132,0.023,0.128
0.072,-0.008,0.008
0.087,0.079,-0.045
0.072,0.079,0.072
0.132,0.106,-0.057
0.143,0.079,-0.091
0.109,0.189,-0.106
0.102,-0.053,0.098
0.068,0.015,0.06
0.091,-0.004,-0.03
0.041,0.038,0.004
0.174,0.06,0.109
0.109,0.053,-0.049
0.057,-0.023,-0.03
0.128,-0.034,-0.053
0.094,0.0,-0.064
0.049,0.121,-0.057
0.068,0.087,-0.091
0.098,0.049,-0.034
0.098,-0.019,-0.053
0.072,0.004,-0.094
0.045,0.004,-0.174
0.109,0.015,-0.019
0.136,-0.049,0.023
0.121,-0.015,-0.079
0.057,-0.019,0.038
0.087,0.041,-0.038
0.102,0.015,0.083
0.106,0.113,0.075
0.113,0.06,-0.064
0.14,0.045,0.034
0.072,0.049,-0.008
0.106,0.053,-0.057
0.166,0.072,0.064
0.147,0.03,0.117
0.064,0.06,0.053
0.106,0.06,0.03
0.121,0.064,0.049
0.121,0.06,0.004
0.158,0.113,0.053
0.2,0.0,-0.14
0.106,0.094,-0.03
0.121,0.075,0.015
0.087,0.075,0.019
0.113,0.053,-0.053
0.064,-0.038,-0.06
0.079,-0.03,-0.03
0.117,0.057,-0.079
0.143,0.057,-0.008
0.094,0.015,-0.015
0.109,0.109,0.034
0.06,0.06,0.053
0.057,0.06,0.008
0.098,0.091,0.026
0.121,0.083,-0.03
0.098,0.03,0.0
0.053,0.019,-0.075
0.015,0.147,-0.023
0.117,0.109,-0.068
0.117,0.06,-0.041
0.091,0.06,-0.038
0.083,0.053,-0.026
0.132,0.034,-0.136
0.14,-0.03,-0.06
0.109,0.0,0.106
0.14,0.026,0.026
0.109,0.0,0.041
0.057,0.068,0.026
0.06,0.049,0.098
0.117,0.041,0.019
0.151,0.023,-0.019
0.147,0.038,-0.03
0.136,0.011,0.075
0.185,0.053,0.053
0.162,-0.034,0.023
0.075,0.057,-0.075
0.026,0.053,-0.034
0.023,0.091,-0.015
0.094,0.057,0.004
0.057,0.023,-0.019
0.098,0.015,0.087
0.087,0.034,-0.004
0.109,0.064,-0.053
0.094,0.049,-0.038
0.14,0.011,-0.079
0.087,0.019,0.03
0.068,0.008,-0.117
0.211,0.106,-0.177
0.109,0.045,-0.072
0.091,-0.011,-0.091
0.094,0.03,-0.011
0.124,0.124,-0.106
0.106,0.057,-0.049
0.109,0.026,0.0
